itemNumber,price
143733710,20.99
143733686,18.99
143732822,32.99
143732725,40.99
143732305,26.99
143732006,32.99
143722940,38.99
143722915,20.99
143715023,58.99
143697686,22.99
143664551,19.99
143664500,18.99
143664414,28.99
143664083,18.99
143659677,16.99
143528355,45.99
143452225,56.99
142877881,47.99
142873944,38.99
142794140,23.99
143834428,23.99
143753258,26.99
143753198,21.99
143753090,25.99
143753053,28.99
143753009,26.99
143748987,45.99
143748961,45.99
143738583,43.99
143737512,19.99
143736691,24.99
143736285,35.99
143734924,32.99
143734879,22.99
143730904,24.99
143723831,16.99
143723802,59.99
143723761,28.99
143723139,33.99
143721987,27.99
143721960,30.99
143721841,39.99
143719842,23.99
143718390,22.99
143718136,23.99
143717363,16.99
143716818,17.99
143716791,29.99
143716763,19.99
143716727,32.99
143716664,19.99
143697390,33.99
143696634,23.99
143696055,24.99
143695894,19.99
143690550,21.99
143685249,26.99
143685207,18.99
143682127,20.99
143682002,22.99
143673225,33.99
143673188,35.99
143673152,16.99
143673099,24.99
143663468,38.99
143651148,50.99
143616242,19.99
143616217,20.99
143616178,21.99
143616149,24.99
143616125,15.99
143616091,20.99
143616040,21.99
143615927,27.99
143425125,20.99
143250449,21.99
143124914,43.99
143121988,22.99
143121425,17.99
143119950,26.99
143073173,44.99
143063815,20.99
143055300,47.99
143037154,24.99
143035364,32.99
142988666,22.99
142985360,31.99
142983093,47.99
142878940,35.99
142878641,15.99
142877395,29.99
142871195,49.99
142869198,25.99
142868665,32.99
142862241,52.99
142807306,24.99
142799077,22.99
143832573,44.99
143749023,41.99
143741879,27.99
143720991,23.99
143720861,32.99
143717251,59.99
143712435,48.99
143704956,45.99
143684778,55.99
143679870,21.99
143679784,48.99
143660241,26.99
143642214,54.99
143641260,44.99
143629137,22.99
143621830,21.99
143474818,32.99
143473550,50.99
143472921,16.99
143472228,34.99
143454011,26.99
143426029,34.99
143838471,29.99
143739672,29.99
143737814,37.99
143730868,15.99
143713433,37.99
143713374,50.99
143713329,31.99
143703178,24.99
143566974,60.99
143562342,23.99
143392581,27.99
143364070,34.99
143363926,45.99
143354525,26.99
143352996,40.99
143200977,45.99
142675549,43.99
142554024,39.99
136218656,46.99
136205880,39.99
143757795,16.99
143748681,30.99
143748345,23.99
143743645,47.99
143741785,33.99
143738709,57.99
143737978,22.99
143732158,35.99
143722343,16.99
143722206,34.99
143721973,33.99
143721958,33.99
143720178,37.99
143720157,26.99
143719734,28.99
143719524,21.99
143718260,28.99
143708075,21.99
143678261,52.99
143674341,42.99
143674209,23.99
143673021,25.99
143672956,34.99
143672726,43.99
143672496,42.99
143672446,17.99
143672245,43.99
143671406,28.99
143668940,43.99
143640201,41.99
143598235,21.99
143597599,34.99
143597423,50.99
143597385,37.99
143561670,24.99
143511575,24.99
143511131,31.99
143493727,42.99
143493530,51.99
143493316,65.99
143493282,42.99
143492987,42.99
143492946,52.99
143492905,33.99
143492808,52.99
143413420,24.99
143250953,24.99
143112855,51.99
143770820,30.99
143752753,29.99
