additionalDescription,adjustableWaist,availability,brand,brandDescription,brandId,category,categoryId,categoryTags,charsAccent,charsBraceletStyle,charsCareInstructions,charsCenterBackIn,charsChestIn,charsDepthIn,charsDressStyle,charsEarringStyle,charsFeatures,charsFit,charsGeneral,charsHeelHeightIn,charsHeightIn,charsInseamIn,charsJacketStyle,charsJeanWash,charsLengthIn,charsMaterial,charsNecklaceStyle,charsNeckline,charsPantCut,charsPantStyle,charsPattern,charsPieceCount,charsRingStyle,charsRiseIn,charsShoeStyle,charsShoeWidth,charsShortsInseamIn,charsSkirtDressLengthIn,charsSkirtDressName,charsSkirtDressStyle,charsSkirtStyle,charsSleeveLength,charsStretch,charsTopAttribute,charsWaist,charsWaistIn,clearance,colorNames,condition,conditionDetail,conditionOverrides,departmentTags,favoriteCount,favorites,finalSale,hasConditionOverrides,hasInappropriateContent,id,itemNumber,materials,merchandisingDepartment,msrp,newWithTags,originalPrice,outOfRegionPrice,partnerDescription,photoIds,preorderable,preorderedBy,price,promotion,qualityCode,sale,searchTags,sellthroughScore,similarBrands,sizeEquivalents,sizeLabel,sizes,sizingId,state,styleTags,supplierId,sustainabilityImpactV2,tags,thredupGender,title,warehouseId,__typename
,False,InStock,Cider,,61211,Jeans,356,,[],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,28.0,,['light wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],10.5,[],,,,,[],,,[],[],high rise,31.5,False,"['Multi color', 'Pink']",Q1_NWT,,[],['women'],1,{},False,False,False,140450474,143453739,['100% Cotton'],women,51,True,17.99,19.99,,"['476310101', '476310108']",False,,19.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '12.99', '__typename': 'ItemPromotion'}",Q1,False,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-flare', 'women-jeans-wide-leg', 'women-jeans-high-waisted']",0.976023,[],,Size L,['Lg'],812,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Cider Jeans,16,Item
,False,InStock,Pilcro,,62453,Jeans,356,,[],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,28.75,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],11.25,[],,,,,[],,,[],[],high rise,33.0,False,['Blue'],Q1_only,,[],['women'],0,{},False,False,False,140450426,143453691,"['94% Cotton', '4% Polyester', '2% Elastane']",women,127,False,27.99,32.99,,"['471990867', '471990909']",False,,32.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '21.44', '__typename': 'ItemPromotion'}",Q1,False,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-flare', 'women-jeans-high-waisted']",0.522028,[],,27 Waist,['27 waist'],782,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Pilcro Jeans,16,Item
,False,InStock,Gloria Vanderbilt,,9716,Jeans,356,,[],[],,,,,,[],[],"['standard', 'boyfriend']",['work'],,,28.25,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],10.25,[],,,,,[],,,[],[],mid-reg rise,32.0,False,['Black'],Q2_only,minor wear on fabric,[],['women'],0,{},False,False,False,140443310,143446565,"['98% Cotton', '2% Elastane']",women,51,False,19.99,18.99,,"['471778885', '471778931']",False,,18.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '12.34', '__typename': 'ItemPromotion'}",Q2,False,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-bootcut']",0.750327,"[{'department': 'women', 'id': 94, 'name': 'Dockers', '__typename': 'Brand'}, {'department': 'women', 'id': 585, 'name': 'Ruff Hewn', '__typename': 'Brand'}, {'department': 'women', 'id': 707, 'name': 'Covington', '__typename': 'Brand'}, {'department': 'women', 'id': 903, 'name': 'White Stag', '__typename': 'Brand'}]",,Size 6,['6'],790,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Gloria Vanderbilt Jeans,16,Item
,False,InStock,Ann Taylor LOFT Outlet,"Whether you’re shopping for the office, the classroom, or the weekend, Ann Taylor LOFT Outlet has the perfect look. From comfy tops and cute cardigans to sassy skirts and pretty dresses, this women’s brand boasts both casual and professional looks. At thredUP, we love that Ann Taylor LOFT Outlet is easy to wear yet always looks classy and stylish.",14720,Jeans,356,,"['frayed edges', 'fringe & frayed accents', 'whiskering']",[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,23.75,,"['colored', 'medium wash']",,denim,[],,boyfriend,['boyfriend'],['solid'],,[],9.0,[],,,,,[],,,[],[],mid-reg rise,33.0,False,"['Colored', 'Blue']",Q1_only,,[],['women'],1,{},False,False,False,140439978,143443570,"['2% Spandex', '98% Cotton']",women,38,False,13.99,16.99,,"['464350554', '464350587']",False,,16.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '11.04', '__typename': 'ItemPromotion'}",Q1,False,"['women-jeans', 'women-jeans-capri', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-colored']",0.814505,"[{'department': 'women', 'id': 1549, 'name': 'Papermoon', '__typename': 'Brand'}, {'department': 'women', 'id': 2424, 'name': 'Van Heusen', '__typename': 'Brand'}, {'department': 'women', 'id': 2645, 'name': 'Lauren Conrad', '__typename': 'Brand'}, {'department': 'women', 'id': 5837, 'name': 'Elle', '__typename': 'Brand'}]",,Size 0,['0'],756,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Ann Taylor Loft Outlet Jeans,16,Item
,False,InStock,Carly Jean,,42388,Jeans,356,,"['ripped', 'distressed']",[],,,,,,[],[],"['standard', 'slim']",['boho'],,,27.75,,"['dark wash', 'distressed']",,denim,[],,skinny leg,,['solid'],,[],11.5,[],,,,,[],,,[],[],high rise,27.5,False,['Blue'],Q2_only,minor wear on fabric,[],['women'],0,{},False,False,False,140439951,143443545,"['75% Cotton', '22% Polyester', '3% Spandex']",women,76,False,20.99,24.99,,"['461345332', '461345362']",False,,24.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '16.24', '__typename': 'ItemPromotion'}",Q2,False,"['women-jeans', 'women-jeans-skinny', 'women-jeans-distressed', 'women-jeans-ripped', 'women-jeans-high-waisted']",0.0905272,[],,25 Waist,['25 waist'],768,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Carly Jean Jeans,16,Item
,False,InStock,J Brand,"Whether you prefer blue or black, J Brand has the perfect pair of jeans for every occasion. From high-rise to mid-rise and from super skinny to cropped, this denim fits like a glove. You can even skip the denim and go straight for leather. At thredUP, we love that every pair of J Brand jeans boasts incredible quality, craftsmanship, and style.",164,Jeans,356,,['button'],[],,,,,,[],[],"['standard', 'slim']",,,,31.0,,['dark wash'],,denim,[],,skinny leg,,['solid'],,[],12.0,[],,,,,[],,,[],[],high rise,29.5,False,['Black'],Q1_only,,[],"['women', 'premium']",0,{},True,False,False,140435259,143438826,"['43% Viscose', '33% Cotton', '17% Lyocell', '5% Polyester', '2% Elastane']",X,210,False,45.99,34.99,,"['462635301', '462635331']",False,,34.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '22.74', '__typename': 'ItemPromotion'}",Q1,False,"['women-jeans', 'women-jeans-skinny', 'women-jeans-high-waisted']",0.0181497,"[{'department': 'women', 'id': 93, 'name': 'DKNY', '__typename': 'Brand'}, {'department': 'women', 'id': 1996, 'name': 'Ella Moss', '__typename': 'Brand'}, {'department': 'women', 'id': 2747, 'name': 'Carlisle', '__typename': 'Brand'}, {'department': 'women', 'id': 4571, 'name': 'Worth New York', '__typename': 'Brand'}]",,24 Waist,['24 waist'],757,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,J Brand Jeans,16,Item
,False,InStock,Old Navy,"Old Navy is known for their everyday staples and trendy styles for the whole family at a great price. Softest tees, perfect-fit denim, casual dresses, outerwear, and so much more. Snag an even sweeter deal on Old Navy at thredUP, where you’ll find all your favorite styles for up to 90% off.",279,Jeans,356,,['whiskering'],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,30.5,,['medium wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],11.75,[],,,,,[],,,[],[],high rise,30.0,False,['Blue'],Q2_only,minor wear on fabric,[],['women'],0,{},False,False,False,140433202,143436753,"['5% Spandex', '95% Cotton']",women,50,False,21.99,27.99,,"['488052075', '488052121']",False,,27.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '18.19', '__typename': 'ItemPromotion'}",Q2,False,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-flare', 'women-jeans-high-waisted']",0.22861,"[{'department': 'women', 'id': 144, 'name': 'Hanes', '__typename': 'Brand'}, {'department': 'women', 'id': 469, 'name': 'Athletic Works', '__typename': 'Brand'}, {'department': 'women', 'id': 470, 'name': 'Danskin', '__typename': 'Brand'}, {'department': 'women', 'id': 517, 'name': 'Route 66', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,18686995,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Old Navy Jeans,16,Item
